englián logó;SAJÁT
darázs;https://www.pngegg.com/hu/png-nizbc
bálna;https://www.pngegg.com/hu/png-szcsv
farkas;https://www.pngegg.com/hu/png-wlrts
zebra;https://www.pngegg.com/hu/png-zbnri
alumínium;https://www.pngegg.com/hu/png-sicgs
tégla;https://www.pngegg.com/hu/png-xomwk
szén-dioxid;https://www.pngegg.com/hu/png-nzvav
cement;https://www.pngegg.com/hu/png-nouaq
agyag;https://www.pngegg.com/hu/png-dsnsj
szén;https://www.pngegg.com/hu/png-yqbdb
réz;https://www.pngegg.com/hu/png-ywkoh
pamut;https://www.pngegg.com/hu/png-dkxev
gáz;https://www.pngegg.com/hu/png-dhpnn
üveg;https://www.pngegg.com/hu/png-bckqp
hidrogén;https://www.pngegg.com/hu/png-mluvn
jég;https://www.pngegg.com/hu/png-dkpml
bõr;https://www.pngegg.com/hu/png-zlomm
márvány;https://www.pngegg.com/hu/png-bfyze
nitrogén;https://www.pngegg.com/hu/png-ygzrt
oxigén;https://www.pngegg.com/hu/png-wjgzd
papír;https://www.pngegg.com/hu/png-wkglg
benzin;https://www.pngegg.com/hu/png-wsntv
mûanyag;https://www.pngegg.com/hu/png-npkto
talaj;https://www.pngegg.com/hu/png-ddmmg
acél;https://www.pngegg.com/hu/png-tprcg
kõ;https://www.pngegg.com/hu/png-wgelb
víz;https://www.pngegg.com/hu/png-wgket
faanyag;https://www.pngegg.com/hu/png-xbsty
